Date,Price,Open,High,Low,Vol.,Change %,CPI_Combined,Inflation_Rate,Gold_Returns,Rolling_Corr_12m,Rolling_Corr_24m,Rolling_Beta_12m
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,119.5,-0.9121061359867233,-0.6219532694570429,0.03815796315890387,0.24280694077384973,0.010985532163707065
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,120.6,0.9205020920502127,0.0,0.04070303336133268,0.24176103769705531,0.011835660342163051
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,122.3,1.4096185737976885,0.0,0.0376499186924851,0.29527368910137,0.010822646950958756
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,123.3,0.8176614881439059,0.0,0.036834227082653194,0.46040529654920864,0.010565891002698877
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,124.1,0.6488240064882467,0.0,0.0345944507109092,0.5336858181558447,0.009891214678913674
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,124.3,0.16116035455278066,0.0,0.3958733018634204,0.5336858181558447,0.1361254800757835
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,118.7,-4.505229283990342,0.0,0.4187256441663693,0.49609962334925656,0.10213224976085994
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,125.5,5.728727885425444,0.0,0.250893303856103,0.4515605239546821,0.029031905387739042
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,124.9,-0.47808764940238113,0.0,0.24233732926744742,0.32303620951341,0.02864899811011691
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,118.3,-5.284227381905526,0.6258457374830773,-0.08466747336696748,0.21746175259574047,-0.011116381333093815
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,118.4,0.08453085376163294,0.0,-0.1586582597004219,0.08322019033053132,-0.017884591320986513
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,118.7,0.2533783783783772,0.0,-0.33478034348593927,-0.09586689046700796,-0.03185073579836046
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,125.1,5.391743892165124,-0.6219532694570429,-0.712994136317371,-0.1935844956740042,-0.059404239394026226
2016-01-01,1311.4,"1,357.20","1,374.20","1,306.90",3.98M,-3.40%,129.3,3.3573141486810787,10.910013531799724,0.2009078824585865,0.18544892243056604,0.1922596005919063
2016-01-01,1311.4,"1,357.20","1,374.20","1,306.90",3.98M,-3.40%,129.2,-0.07733952049499004,0.0,0.21293918104234538,0.18854732958950185,0.20401580272850606
2016-01-01,1311.4,"1,357.20","1,374.20","1,306.90",3.98M,-3.40%,128.4,-0.6191950464396134,0.0,0.22339958167273996,0.19252904389181366,0.21314653519632304
2016-01-01,1317.1,"1,311.70","1,357.60","1,305.50",3.66M,0.43%,125.1,-2.570093457943934,0.43464999237454727,0.2319428150122393,0.19036595493167446,0.21385483028008612
2016-01-01,1317.1,"1,311.70","1,357.60","1,305.50",3.66M,0.43%,124.8,-0.23980815347721673,0.0,0.23503797786181713,0.22003525409591582,0.21661211297110483
2016-01-01,1317.1,"1,311.70","1,357.60","1,305.50",3.66M,0.43%,124.9,0.08012820512821595,0.0,0.21883564139220882,0.23029914790249123,0.22238459528395255
2016-01-01,1317.1,"1,311.70","1,357.60","1,305.50",3.66M,0.43%,126.0,0.8807045636509248,0.0,0.30781000072442904,0.21509104984100144,0.3682288058781817
2016-01-01,1317.1,"1,311.70","1,357.60","1,305.50",3.66M,0.43%,129.9,3.0952380952381064,0.0,0.25791791760470884,0.20889350773143406,0.29385433520237175
2016-01-01,1317.1,"1,311.70","1,357.60","1,305.50",3.66M,0.43%,128.6,-1.000769822940728,0.0,0.3212366612743904,0.21096438289803218,0.46452600271042577
